day,time,Time,type,theme,nbr likes,nbr share,nbr comment,eng,total.eng
Wednesday,1:12,Avant 9h,text+link+photo,Identite,383,33,3,419,Engagement très fort
Tuesday,19:13,Après 19h,text+video,Identite,60,11,3,74,Engagement intermédiaire
Friday,18:45,17h-19h,text+link,Identite,264,43,94,401,Engagement très fort
Wednesday,13:42,11h-14h,text+photo,Identite,271,18,7,296,Engagement très fort
Wednesday,13:43,11h-14h,text+video,Identite,140,18,7,165,Engagement fort
Monday,14:58,14h-17h,text+link+photo,Information,101,2,6,109,Engagement fort
Monday,9:43,9h-11h,text+link,Relation,118,3,6,127,Engagement fort
Wednesday,14:03,14h-17h,text+video,Administration,174,33,6,213,Engagement très fort
Friday,15:48,14h-17h,text+link+video,Education,51,7,6,64,Engagement intermédiaire
Friday,14:11,14h-17h,text+photo,Identite,147,8,6,161,Engagement fort
Tuesday,21:53,Après 19h,text+link+photo,Identite,292,7,5,304,Engagement très fort
Friday,16:21,14h-17h,text+link+photo,Identite,75,3,5,83,Engagement fort
Thursday,16:01,14h-17h,text+link+photo,Identite,109,7,4,120,Engagement fort
Thursday,9:15,9h-11h,text+link+video,Identite,41,2,4,47,Engagement intermédiaire
Wednesday,17:42,17h-19h,text+link+photo,Information,245,4,4,253,Engagement très fort
Friday,9:36,9h-11h,text+video ,Relation,138,74,4,216,Engagement très fort
Friday,22:26,Après 19h,text+video,Relation,369,85,3,457,Engagement très fort
Monday,15:27,14h-17h,text+link+photo,Information,48,5,3,56,Engagement intermédiaire
Thursday,14:46,14h-17h,text+link+photo,Identite,147,11,3,161,Engagement fort
Wednesday,15:05,14h-17h,text+link+photo,Identite,166,3,3,172,Engagement fort
Thursday,11:04,11h-14h,text+link+photo,Identite,28,8,3,39,Engagement intermédiaire
Wednesday,10:34,9h-11h,text+link+photo,Information,84,8,3,95,Engagement fort
Thursday,14:51,14h-17h,link,Relation,100,11,3,114,Engagement fort
Monday,20:22,Après 19h,text+link+video,Identite,125,33,3,161,Engagement fort
Friday,16:18,14h-17h,text+photo,Information,335,18,3,356,Engagement très fort
Tuesday,8:11,Avant 9h,text+photo,Information,182,12,3,197,Engagement fort
Friday,9:48,9h-11h,text+photo,Relation,33,6,3,42,Engagement intermédiaire
Tuesday,9:58,9h-11h,text+photo,Identite,145,3,3,151,Engagement fort
Thursday,11:19,11h-14h,text+photo,Identite,38,1,3,42,Engagement intermédiaire
Wednesday,10:35,9h-11h,text+photo,Identite,40,2,3,45,Engagement intermédiaire
Saturday,9:28,9h-11h,text+link,Identite,37,0,3,40,Engagement intermédiaire
Friday,13:52,11h-14h,text+link+photo,Information,41,3,2,46,Engagement intermédiaire
Monday,4:08,Avant 9h,text+photo,Identite,101,5,2,108,Engagement fort
Thursday,8:05,Avant 9h,text+photo,Relation,138,13,2,153,Engagement fort
Friday,10:17,9h-11h,text+video,Identite,106,45,2,153,Engagement fort
Monday,15:22,14h-17h,text+link+photo,Identite,97,19,2,118,Engagement fort
Friday,15:36,14h-17h,text+photo,Relation,132,5,2,139,Engagement fort
Thursday,12:44,11h-14h,text+photo,Identite,127,23,2,152,Engagement fort
Monday,12:57,11h-14h,text+link,Relation,118,7,2,127,Engagement fort
Monday,8:44,Avant 9h,text+link+photo,Identite,91,4,2,97,Engagement fort
Friday,12:23,11h-14h, link,Identite,19,0,2,21,engagement faible
Wednesday,8:13,Avant 9h,text,Administration,58,1,2,61,Engagement intermédiaire
Tuesday,8:41,Avant 9h,text+photo,Identite,96,12,2,110,Engagement fort
Saturday,8:01,Avant 9h,text+photo,Identite,79,4,2,85,Engagement fort
Friday,14:15,14h-17h,text+photo,Identite,44,7,2,53,Engagement intermédiaire
Friday,12:58,11h-14h,text+photo,Identite,34,2,2,38,Engagement intermédiaire
Friday,17:41,17h-19h,link,Identite,86,4,2,92,Engagement fort
Tuesday,9:19,9h-11h,link,Identite,205,6,2,213,Engagement très fort
