day,time,Time,type,theme,nbr likes,nbr share,nbr comment,eng,total.eng
Friday,19:24,Après 19h,text+link,Identite,15,1,0,16,engagement faible
Friday,12:19,11h-14h,text+link,Identite,9,0,0,9,pas d'engagement
Saturday,17:56,17h-19h,photo,Relation,2,0,0,2,pas d'engagement
Thursday,18:46,17h-19h,text+link,Identite,95,5,0,100,Engagement fort
Tuesday,20:15,Après 19h,text+link,Identite,7,1,0,8,pas d'engagement
Wednesday,9:29,9h-11h,text+link,Relation,230,17,94,341,Engagement très fort
Wednesday,3:54,Avant 9h,text+link,Information,227,45,30,302,Engagement très fort
Wednesday,9:35,9h-11h,text+link+photo,Information,99,4,27,130,Engagement fort
Friday,9:40,9h-11h,text+photo,Relation,304,22,26,352,Engagement très fort
Tuesday,12:22,11h-14h,text+link+photo,Information,359,25,13,397,Engagement très fort
Thursday,9:12,9h-11h,text+link,Administration,59,31,11,101,Engagement fort
Wednesday,11:45,11h-14h,text+link,Relation,98,4,10,112,Engagement fort
Tuesday,12:35,11h-14h,text+link+photo,Relation,101,4,9,114,Engagement fort
Thursday,12:04,11h-14h,text+link,Relation,86,13,9,108,Engagement fort
Friday,9:04,9h-11h,text+photo ,Identite,317,10,7,334,Engagement très fort
Wednesday,13:47,11h-14h,text+link+photo,Identite,78,9,6,93,Engagement fort
Wednesday,11:07,11h-14h,text+link+photo,Education,49,5,5,59,Engagement intermédiaire
Wednesday,13:55,11h-14h,text+link,Relation,213,55,5,273,Engagement très fort
Friday,14:46,14h-17h,text+photo,Identite,82,3,4,89,Engagement fort
Friday,12:27,11h-14h,text+link+photo,Administration,91,6,4,101,Engagement fort
Friday,2:37,Avant 9h,text+link+photo,Identite,62,6,4,72,Engagement intermédiaire
Thursday,12:05,11h-14h,text+link,Recherche,99,5,4,108,Engagement fort
Friday,13:22,11h-14h,text+photo,Identite,78,3,4,85,Engagement fort
Tuesday,16:37,14h-17h,text+link+photo,Relation,74,2,4,80,Engagement intermédiaire
Thursday,16:01,14h-17h,text+link,Relation,70,8,4,82,Engagement fort
Tuesday,11:22,11h-14h,text+link,Identite,84,12,3,99,Engagement fort
Friday,17:22,17h-19h,text+link,Identite,69,5,3,77,Engagement intermédiaire
Thursday,15:12,14h-17h,text+link+photo,Identite,117,2,3,122,Engagement fort
Thursday,10:12,9h-11h,text+link,Education,29,4,3,36,Engagement intermédiaire
Monday,13:24,11h-14h,text+link+photo,Identite,127,10,3,140,Engagement fort
Wednesday,1:36,Avant 9h,text+link,Education,37,2,3,42,Engagement intermédiaire
Thursday,13:34,11h-14h,text+link,Identite,66,4,3,73,Engagement intermédiaire
Thursday,14:42,14h-17h,text+link,Identite,40,4,2,46,Engagement intermédiaire
Tuesday,14:41,14h-17h,text+photo,Identite,36,2,2,40,Engagement intermédiaire
Wednesday,9:25,9h-11h,link,Identite,26,0,2,28,engagement faible
Friday,16:45,14h-17h,text+link,Administration,31,5,2,38,Engagement intermédiaire
Thursday,2:07,Avant 9h,text+link,Administration,30,3,2,35,Engagement intermédiaire
Wednesday,10:20,9h-11h,text+link,Information,49,9,2,60,Engagement intermédiaire
Friday,12:17,11h-14h,text+link+photo,Identite,116,8,2,126,Engagement fort
Wednesday,10:45,9h-11h,text+photo,Administration,25,2,2,29,engagement faible
Monday,12:18,11h-14h,text+link+photo,Identite,47,6,2,55,Engagement intermédiaire
Monday,8:23,Avant 9h,link,Relation,109,4,2,115,Engagement fort
Sunday,22:49,Après 19h,text+video,Relation,91,7,2,100,Engagement fort
Monday,16:10,14h-17h,text+link,Identite,54,3,1,58,Engagement intermédiaire
Monday,15:29,14h-17h,text+link,Identite,33,4,1,38,Engagement intermédiaire
Monday,12:01,11h-14h,text+link,Identite,18,3,1,22,engagement faible
Thursday,13:35,11h-14h,text+link,Identite,50,4,1,55,Engagement intermédiaire
Thursday,11:50,11h-14h,text+link,Identite,43,1,1,45,Engagement intermédiaire
Tuesday,14:37,14h-17h,text+photo,Identite,28,0,1,29,engagement faible
Monday,9:45,9h-11h,text+link,Information,42,4,1,47,Engagement intermédiaire
Monday,15:05,14h-17h,text+photo,Identite,41,4,1,46,Engagement intermédiaire
Monday,10:55,9h-11h,text+photo,Identite,47,1,1,49,Engagement intermédiaire
Friday,14:18,14h-17h,text+photo,Identite,79,5,1,85,Engagement fort
Thursday,11:28,11h-14h,text+link+photo,Information,36,3,1,40,Engagement intermédiaire
Tuesday,14:04,14h-17h,text+link,Identite,26,3,1,30,engagement faible
Friday,16:34,14h-17h,text+photo,Identite,44,3,1,48,Engagement intermédiaire
Wednesday,14:21,14h-17h,text+link+video,Identite,67,9,1,77,Engagement intermédiaire
Tuesday,12:50,11h-14h,text+link+photo,Identite,36,4,1,41,Engagement intermédiaire
Monday,15:11,14h-17h,text+link,Identite,27,6,1,34,Engagement intermédiaire
Friday,9:01,9h-11h,text+photo,Identite,45,0,1,46,Engagement intermédiaire
Monday,11:20,11h-14h,text+link+photo,Administration,26,6,1,33,Engagement intermédiaire
Wednesday,3:49,Avant 9h,text+link+photo,Identite,37,2,1,40,Engagement intermédiaire
Wednesday,22:35,Après 19h,text+link,Identite,74,17,1,92,Engagement fort
Friday,0:41,Avant 9h,text+photo,Identite,45,0,1,46,Engagement intermédiaire
Thursday,2:37,Avant 9h,text+link+photo,Information,69,10,1,80,Engagement intermédiaire
Wednesday,12:17,11h-14h,text+link+photo,Identite,100,6,1,107,Engagement fort
Wednesday,14:12,14h-17h,text+photo,Identite,23,3,1,27,engagement faible
Monday,12:47,11h-14h,text+link,Information,100,13,1,114,Engagement fort
Thursday,13:14,11h-14h,text+link+photo,Identite,52,3,1,56,Engagement intermédiaire
Tuesday,14:40,14h-17h,text+link,Identite,24,1,1,26,engagement faible
Tuesday,11:22,11h-14h,text+link+photo,Identite,88,5,1,94,Engagement fort
Thursday,8:10,Avant 9h,text+photo,Relation,348,48,1,397,Engagement très fort
Wednesday,13:34,11h-14h,text+link+photo,Identite,68,5,1,74,Engagement intermédiaire
Tuesday,9:31,9h-11h,link,Recherche,7,1,1,9,pas d'engagement
Thursday,13:35,11h-14h,text+link+photo,Relation,32,3,1,36,Engagement intermédiaire
Thursday,14:25,14h-17h,text+link,Relation,31,2,1,34,Engagement intermédiaire
Monday,11:17,11h-14h,text+link,Identite,14,3,0,17,engagement faible
Friday,15:11,14h-17h,text+link,Identite,23,0,0,23,engagement faible
Thursday,13:55,11h-14h,text+photo,Identite,10,2,0,12,engagement faible
Wednesday,13:35,11h-14h,text+link,Administration,25,11,0,36,Engagement intermédiaire
Tuesday,12:23,11h-14h,text+link,Identite,25,3,0,28,engagement faible
Monday,11:07,11h-14h,text+link,Information,73,10,0,83,Engagement fort
Wednesday,13:56,11h-14h,text+link+photo,Identite,169,9,0,178,Engagement fort
Wednesday,9:03,9h-11h,text+link,Identite,21,4,0,25,engagement faible
Wednesday,15:30,14h-17h,text+link,Recherche,17,2,0,19,engagement faible
Tuesday,13:42,11h-14h,text+link,Identite,15,5,0,20,engagement faible
Monday,17:00,14h-17h,text+link+photo,Identite,29,4,0,33,Engagement intermédiaire
Wednesday,10:46,9h-11h,text+photo,Identite,40,3,0,43,Engagement intermédiaire
Tuesday,14:48,14h-17h,text+link,Identite,16,1,0,17,engagement faible
Friday,12:19,11h-14h,text+link+photo,Administration,24,3,0,27,engagement faible
Monday,13:42,11h-14h,text+link+photo,Education,20,1,0,21,engagement faible
Wednesday,12:45,11h-14h,text+link+photo,Identite,66,8,0,74,Engagement intermédiaire
Monday,11:33,11h-14h,text+link+photo,Education,18,4,0,22,engagement faible
Friday,13:20,11h-14h,text+link+video,Identite,37,0,0,37,Engagement intermédiaire
Thursday,11:23,11h-14h,text+photo,Recherche,39,3,0,42,Engagement intermédiaire
Thursday,8:53,Avant 9h,text+link,Recherche,14,0,0,14,engagement faible
Wednesday,0:57,Avant 9h,text+link,Administration,9,2,0,11,engagement faible
Monday,13:50,11h-14h,text+link+photo,Identite,30,0,0,30,engagement faible
Thursday,13:13,11h-14h,text+link+photo,Identite,21,0,0,21,engagement faible
Thursday,12:04,11h-14h,text+link,Identite,20,2,0,22,engagement faible
Tuesday,12:13,11h-14h,text+link,Identite,19,0,0,19,engagement faible
Monday,14:09,14h-17h,text+link,Information,18,3,0,21,engagement faible
Thursday,10:38,9h-11h,text+link,Identite,17,1,0,18,engagement faible
Wednesday,14:50,14h-17h,text+link,Identite,25,1,0,26,engagement faible
Tuesday,12:10,11h-14h,text+photo,Identite,32,2,0,34,Engagement intermédiaire
Friday,15:10,14h-17h,text+link,Identite,21,4,0,25,engagement faible
Friday,14:36,14h-17h,text+link+photo,Identite,30,3,0,33,Engagement intermédiaire
Thursday,14:31,14h-17h,text+link,Identite,43,5,0,48,Engagement intermédiaire
Thursday,9:12,9h-11h,text+link+photo,Administration,671,6,0,677,Engagement très fort
Wednesday,11:52,11h-14h,text+link,Identite,23,3,0,26,engagement faible
Tuesday,11:07,11h-14h,text+link+photo,Administration,16,3,0,19,engagement faible
Monday,14:48,14h-17h,text+link,Identite,11,1,0,12,engagement faible
Monday,13:24,11h-14h,text+link+photo,Administration,9,6,0,15,engagement faible
Friday,15:18,14h-17h,text+link,Identite,25,7,0,32,Engagement intermédiaire
Friday,12:59,11h-14h,text+link+photo,Identite,62,8,0,70,Engagement intermédiaire
Wednesday,14:28,14h-17h,text+link,Identite,36,1,0,37,Engagement intermédiaire
Tuesday,11:34,11h-14h,text+link,Identite,49,9,0,58,Engagement intermédiaire
Monday,9:56,9h-11h,text+link,Relation,95,17,0,112,Engagement fort
Thursday,13:56,11h-14h,text+link,Relation,36,3,0,39,Engagement intermédiaire
Tuesday,13:11,11h-14h,text+link,Relation,32,4,0,36,Engagement intermédiaire
